,school,district,city,state,county,address,zip,school_sample,cleaned
563,Cherry Hill Elementary/Middle,Baltimore City Public Schools,Baltimore,MD,Baltimore City,834 Roundview Road,21225,0,Cherry Hill Elementary/Middle School
564,Sippican,Marion,Marion,MA,Plymouth County,16 Spring Street,02738,1,Sippican
565,Tilden Middle School,Montgomery County Public Schools,Rockville,MD,Montgomery County,11211 Old Georgetown Rd,20852,0,Tilden Middle School
566,Arcola Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1820 Franwall Ave,20902,0,Arcola Elementary School
567,Clopper Mill Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,18501 Cinnamon Dr,20874,0,Clopper Mill Elementary School
568,Gaithersburg High,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,101 Education Blvd,20877,0,Gaithersburg High School
569,Garrett Park Elementary,Montgomery County Public Schools,Kensington,MD,Montgomery County,4810 Oxford Street,20895,0,Garrett Park Elementary School
570,Richard Montgomery High,Montgomery County Public Schools,Rockville,MD,Montgomery County,250 Richard Montgomery Dr,20852,0,Richard Montgomery High School
571,Gaithersburg Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,35 N Summit Ave,20877,0,Gaithersburg Elementary School
572,Seven Locks Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,9500 Seven Locks Road,20817,0,Seven Locks Elementary School
573,Rosemary Hills Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,2111 Porter Rd,20910,0,Rosemary Hills Elementary School
574,Sherwood High,Montgomery County Public Schools,Sandy Spring,MD,Montgomery County,300 Olney-Sandy Spring Rd,20860,0,Sherwood High School
575,Northwood High School,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,919 University Blvd W,20901,0,Northwood High School
576,Forest Knolls Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,10830 Eastwood Ave,20901,0,Forest Knolls Elementary School
577,Rachel Carson Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,100 Tschiffely Square Rd,20878,0,Rachel Carson Elementary School
578,Brookhaven Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,4610 Renn St,20853,0,Brookhaven Elementary School
579,Waters Landing Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,13100 Waters Landing Dr,20874,0,Waters Landing Elementary School
580,Stedwick Elementary,Montgomery County Public Schools,Montgomery Village,MD,Montgomery County,10631 Stedwick Rd,20886,0,Stedwick Elementary School
581,Lake Seneca Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,13600 Wanegarden Dr,20874,0,Lake Seneca Elementary School
582,Westland Middle,Montgomery County Public Schools,Bethesda,MD,Montgomery County,5511 Massachusetts Ave,20816,0,Westland Middle School
583,Julius West Middle,Montgomery County Public Schools,Rockville,MD,Montgomery County,651 Great Falls Rd,20850,0,Julius West Middle School
584,Walt Whitman High,Montgomery County Public Schools,Bethesda,MD,Montgomery County,7100 Whittier Blvd,20817,0,Walt Whitman High School
585,North Bethesda Middle,Montgomery County Public Schools,Bethesda,MD,Montgomery County,8935 Bradmoor Dr,20817,0,North Bethesda Middle School
586,Cresthaven Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1234 Cresthaven Dr,20903,0,Cresthaven Elementary School
587,Greenwood Elementary,Montgomery County Public Schools,Brookeville,MD,Montgomery County,3336 Gold Mine Rd,20833,0,Greenwood Elementary School
588,Oak View Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,400 E Wayne Ave,20901,0,Oak View Elementary School
589,Flora M. Singer Elementary School,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,2600 Hayden Drive,20902,0,Flora M. Singer Elementary School
590,Thomas S. Wootton High,Montgomery County Public Schools,Rockville,MD,Montgomery County,2100 Wootton Pkwy,20850,0,Thomas S. Wootton High School
591,Sligo Creek Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,500 Schuyler Rd,20910,0,Sligo Creek Elementary School
592,Stone Mill Elementary,Montgomery County Public Schools,North Potomac,MD,Montgomery County,14323 Stonebridge View Dr,20878,0,Stone Mill Elementary School
593,Roscoe R Nix Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1100 Corliss St,20903,0,Roscoe R Nix Elementary School
594,Twinbrook Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,5911 Ridgeway Ave,20851,0,Twinbrook Elementary School
595,Damascus High,Montgomery County Public Schools,Damascus,MD,Montgomery County,25921 Ridge Rd,20872,0,Damascus High School
596,North Chevy Chase Elementary,Montgomery County Public Schools,Chevy Chase,MD,Montgomery County,3700 Jones Bridge Rd,20815,0,North Chevy Chase Elementary School
597,Weller Road Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,3301 Weller Rd,20906,0,Weller Road Elementary School
598,Woodlin Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,2101 Luzerne Ave,20910,0,Woodlin Elementary School
599,Summit Hall Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,101 W Deer Park Rd,20877,0,Summit Hall Elementary School
600,Roberto W. Clemente Middle,Montgomery County Public Schools,Germantown,MD,Montgomery County,18808 Waring Station Rd,20874,0,Roberto W. Clemente Middle School
601,Stephen Knolls School,Montgomery County Public Schools,Kensington,MD,Montgomery County,10731 St. Margaret's Way,20895,0,Stephen Knolls School
602,Diamond Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,4 Marquis Dr,20878,0,Diamond Elementary School
603,S. Christa Mcauliffe Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,12500 Wisteria Dr,20874,0,S. Christa Mcauliffe Elementary School
604,Germantown Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,19110 Liberty Mill Rd,20874,0,Germantown Elementary School
605,Francis Scott Key Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,910 Schindler Drive,20903,0,Francis Scott Key Middle School
606,Dufief Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,15001 Dufief Dr,20878,0,Dufief Elementary School
607,Paint Branch High,Montgomery County Public Schools,Burtonsville,MD,Montgomery County,14121 Old Columbia Pike,20866,0,Paint Branch High School
608,Watkins Mill Elementary,Montgomery County Public Schools,Montgomery Village,MD,Montgomery County,19001 Watkins Mill Rd,20886,0,Watkins Mill Elementary School
609,Shady Grove Middle,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,8100 Midcounty Hgwy,20877,0,Shady Grove Middle School
610,Dr. Sally K. Ride Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,21301 Seneca Crossing Dr,20876,0,Dr. Sally K. Ride Elementary School
611,Seneca Valley High,Montgomery County Public Schools,Germantown,MD,Montgomery County,19401 Crystal Rock Dr,20874,0,Seneca Valley High School
612,Argyle Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,2400 Bel Pre Rd,20906,0,Argyle Middle School
613,New Hampshire Estates Elem,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,8720 Carroll Ave,20903,0,New Hampshire Estates Elem
614,Rock Terrace School,Montgomery County Public Schools,Rockville,MD,Montgomery County,390 Martins Ln,20850,0,Rock Terrace School
615,Dr. Charles R. Drew Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1200 Swingingdale Dr,20905,0,Dr. Charles R. Drew Elementary School
616,Spark M. Matsunaga Elementary School,Montgomery County Public Schools,Germantown,MD,Montgomery County,13902 Bromfield Rd,20874,0,Spark M. Matsunaga Elementary School
617,Candlewood Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,7210 Osprey Drive,20855,0,Candlewood Elementary School
618,Col. Zadok Magruder High,Montgomery County Public Schools,Rockville,MD,Montgomery County,5939 Muncaster Mill Rd,20855,0,Col. Zadok Magruder High School
619,Poolesville Elementary,Montgomery County Public Schools,Poolesville,MD,Montgomery County,19565 Fisher Ave,20837,0,Poolesville Elementary School
620,Flower Hill Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,18425 Flower Hill Way,20879,0,Flower Hill Elementary School
621,Brooke Grove Elementary,Montgomery County Public Schools,Olney,MD,Montgomery County,2700 Spartan Rd,20832,0,Brooke Grove Elementary School
622,Benjamin Banneker Middle,Montgomery County Public Schools,Burtonsville,MD,Montgomery County,14800 Perrywood Dr,20866,0,Benjamin Banneker Middle School
623,Glen Haven Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,10900 Inwood Ave,20902,0,Glen Haven Elementary School
624,Oakland Terrace Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,2720 Plyers Mill Rd,20902,0,Oakland Terrace Elementary School
625,Silver Spring International Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,313 Wayne Ave,20910,0,Silver Spring International Middle School
626,Lakelands Park Middle,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,1200 Main St,20878,0,Lakelands Park Middle School
627,Great Seneca Creek Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,13010 Dairymaid Dr,20874,0,Great Seneca Creek Elementary School
628,Bel Pre Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,13801 Rippling Brook Drive,20906,0,Bel Pre Elementary School
629,Bethesda Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,7600 Arlington Rd,20814,0,Bethesda Elementary School
630,Earle B. Wood Middle,Montgomery County Public Schools,Rockville,MD,Montgomery County,14615 Bauer Dr,20853,0,Earle B. Wood Middle School
631,Wilson Wims Elementary School,Montgomery County Public Schools,Clarksburg,MD,Montgomery County,12520 Blue Sky Drive,20871,0,Wilson Wims Elementary School
632,Martin Luther King Jr. Middle,Montgomery County Public Schools,Germantown,MD,Montgomery County,13737 Wisteria Dr,20874,0,Martin Luther King Jr. Middle School
633,Highland Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,3100 Medway St,20902,0,Highland Elementary School
634,Rosa M. Parks Middle,Montgomery County Public Schools,Olney,MD,Montgomery County,19200 Olney Mill Rd,20832,0,Rosa M. Parks Middle School
635,Chevy Chase Elementary,Montgomery County Public Schools,Chevy Chase,MD,Montgomery County,4015 Rosemary St,20815,1,Chevy Chase Elementary School
636,Mill Creek Towne Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,17700 Park Mill Dr,20855,0,Mill Creek Towne Elementary School
637,Wheaton Woods Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,4510 Faroe Pl,20853,0,Wheaton Woods Elementary School
638,Potomac Elementary,Montgomery County Public Schools,Potomac,MD,Montgomery County,10311 River Rd,20854,0,Potomac Elementary School
639,Thurgood Marshall Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,12260 Mcdonald Chapel Dr,20878,0,Thurgood Marshall Elementary School
640,Beverly Farms Elementary,Montgomery County Public Schools,Potomac,MD,Montgomery County,8501 Post Oak Road,20854,0,Beverly Farms Elementary School
641,Wayside Elementary,Montgomery County Public Schools,Potomac,MD,Montgomery County,10011 Glen Rd,20854,0,Wayside Elementary School
642,Jackson Road Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,900 Jackson Rd,20904,0,Jackson Road Elementary School
643,Clarksburg Elementary,Montgomery County Public Schools,Clarksburg,MD,Montgomery County,13530 Redgrave Pl,20871,0,Clarksburg Elementary School
644,Cedar Grove Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,24001 Ridge Rd,20876,0,Cedar Grove Elementary School
645,Pine Crest Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,201 Woodmoor Dr,20901,0,Pine Crest Elementary School
646,Westbrook Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,5110 Allan Ter,20816,0,Westbrook Elementary School
647,Damascus Elementary,Montgomery County Public Schools,Damascus,MD,Montgomery County,10201 Bethesda Church Rd,20872,0,Damascus Elementary School
648,Montgomery Village Middle School,Montgomery County Public Schools,Montgomery Village,MD,Montgomery County,19300 Watkins Mill Rd,20886,0,Montgomery Village Middle School
649,East Silver Spring Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,631 Silver Spring Ave,20910,0,East Silver Spring Elementary School
650,Col. E. Brooke Lee Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,11800 Monticello Ave,20902,0,Col. E. Brooke Lee Middle School
651,Lois P. Rockwell Elementary,Montgomery County Public Schools,Damascus,MD,Montgomery County,24555 Cutsail Dr,20872,0,Lois P. Rockwell Elementary School
652,Washington Grove Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,8712 Oakmont St,20877,0,Washington Grove Elementary School
653,Little Bennett Elementary,Montgomery County Public Schools,Clarksburg,MD,Montgomery County,23930 Burdette Forest Rd,20871,0,Little Bennett Elementary School
654,James Hubert Blake High,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,300 Norwood Rd,20905,0,James Hubert Blake High School
655,Whetstone Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,19201 Thomas Farm Rd,20879,0,Whetstone Elementary School
656,Fairland Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,14315 Fairdale Rd,20905,0,Fairland Elementary School
657,Brown Station Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,850 Quince Orchard Blvd,20878,0,Brown Station Elementary School
658,Thomas W. Pyle Middle School,Montgomery County Public Schools,Bethesda,MD,Montgomery County,6311 Wilson Lane,20817,0,Thomas W. Pyle Middle School
659,Sligo Middle,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,1401 Dennis Ave,20902,0,Sligo Middle School
660,Clearspring Elementary,Montgomery County Public Schools,Damascus,MD,Montgomery County,9930 Moyer Rd,20872,0,Clearspring Elementary School
661,Goshen Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,8701 Warfield Rd,20882,0,Goshen Elementary School
662,Luxmanor Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,6201 Tilden Ln,20852,0,Luxmanor Elementary School
663,Flower Valley Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,4615 Sunflower Dr,20853,0,Flower Valley Elementary School
664,Ronald A. Mcnair Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,13881 Hopkins Rd,20874,0,Ronald A. Mcnair Elementary School
665,Captain James E. Daly Elementary,Montgomery County Public Schools,Germantown,MD,Montgomery County,20301 Brandermill Dr,20876,0,Captain James E. Daly Elementary School
666,Woodfield Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,24200 Woodfield Rd,20882,0,Woodfield Elementary School
667,Strawberry Knoll Elementary,Montgomery County Public Schools,Gaithersburg,MD,Montgomery County,18820 Strawberry Knoll Rd,20879,0,Strawberry Knoll Elementary School
668,William B. Gibbs Jr.,Montgomery County Public Schools,Germantown,MD,Montgomery County,12615 Royal Crown Drive,20876,0,William B. Gibbs Jr.
669,Winston Churchill High,Montgomery County Public Schools,Potomac,MD,Montgomery County,11300 Gainsborough Rd,20854,0,Winston Churchill High School
670,Ritchie Park Elementary,Montgomery County Public Schools,Rockville,MD,Montgomery County,1514 Dunster Rd,20854,0,Ritchie Park Elementary School
671,Kemp Mill Elementary,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,411 Sisson St,20902,0,Kemp Mill Elementary School
672,Northwest High,Montgomery County Public Schools,Germantown,MD,Montgomery County,13501 Richter Farm Rd,20874,1,Northwest High School
673,Newport Mill Middle,Montgomery County Public Schools,Kensington,MD,Montgomery County,11311 Newport Mill Rd,20895,0,Newport Mill Middle School
674,Travilah Elementary,Montgomery County Public Schools,North Potomac,MD,Montgomery County,13801 Dufief Mill Rd,20878,0,Travilah Elementary School
675,Ashburton Elementary,Montgomery County Public Schools,Bethesda,MD,Montgomery County,6314 Lone Oak Dr,20817,0,Ashburton Elementary School
676,Longview School,Montgomery County Public Schools,Germantown,MD,Montgomery County,13900 Bromfield Rd,20874,0,Longview School
677,Thomas Edison High School Of Technology,Montgomery County Public Schools,Silver Spring,MD,Montgomery County,12501 Dalewood Dr,20906,0,Thomas Edison High School Of Technology
